Prob #  	Author  	Avg Time    	Total Time  	Avg Mem     	Max Mem     
11      	canon   	1.5511E+04  	1.5511E+09  	4.2353E+01  	2.7750E+01  
11      	chatgpt 	1.6277E+04  	1.6277E+09  	4.4878E+01  	2.8012E+01  
11      	claude  	1.6330E+04  	1.6330E+09  	4.4972E+01  	2.7941E+01  
11      	gemini  	1.5908E+04  	1.5908E+09  	4.3854E+01  	2.7867E+01  
122     	canon   	1.4131E+04  	1.4131E+09  	3.9042E+01  	2.7773E+01  
122     	chatgpt 	4.6445E+03  	4.6445E+08  	1.4382E+01  	2.7812E+01  
122     	claude  	5.0837E+03  	5.0837E+08  	1.6646E+01  	2.8105E+01  
122     	gemini  	4.9878E+03  	4.9878E+08  	1.5486E+01  	2.8000E+01  
134     	canon   	5.9200E+03  	5.9200E+08  	1.7987E+01  	2.8223E+01  
134     	chatgpt 	-- IR --    	            	1.4585E+00  	2.4426E+01  
134     	claude  	-- IR --    	            	1.3781E+00  	2.4418E+01  
134     	gemini  	-- IR --    	            	2.3460E+00  	2.4414E+01  
179     	canon   	2.4817E+04  	2.4817E+09  	6.6474E+01  	2.7762E+01  
179     	chatgpt 	3.0902E+04  	3.0902E+09  	3.5869E+01  	2.7789E+01  
179     	claude  	4.4640E+04  	4.4640E+09  	1.1760E+02  	2.7707E+01  
179     	gemini  	4.3311E+04  	4.3311E+09  	1.1513E+02  	2.7930E+01  
316     	canon   	1.4791E+04  	1.4791E+09  	4.0108E+01  	2.7414E+01  
316     	chatgpt 	1.9226E+04  	1.9226E+09  	5.1707E+01  	2.7367E+01  
316     	claude  	1.5063E+04  	1.5063E+09  	4.0973E+01  	2.7500E+01  
316     	gemini  	1.4173E+04  	1.4173E+09  	3.8409E+01  	2.7352E+01  
334     	canon   	3.0516E+03  	3.0516E+08  	1.0358E+01  	2.7758E+01  
334     	chatgpt 	3.0609E+03  	3.0609E+08  	1.0419E+01  	2.7812E+01  
334     	claude  	3.6012E+03  	3.6012E+08  	1.2000E+01  	2.8000E+01  
334     	gemini  	4.2429E+03  	4.2429E+08  	1.3451E+01  	2.7953E+01  
376     	canon   	1.2502E+04  	1.2502E+09  	3.4896E+01  	2.7973E+01  
376     	chatgpt 	5.8387E+03  	5.8387E+08  	1.7515E+01  	2.7992E+01  
376     	claude  	6.3858E+03  	6.3858E+08  	1.9033E+01  	2.8008E+01  
376     	gemini  	6.0760E+03  	6.0760E+08  	1.8071E+01  	2.7848E+01  
402     	canon   	6.0523E+03  	6.0523E+08  	1.7820E+01  	2.7395E+01  
402     	chatgpt 	5.2151E+03  	5.2151E+08  	1.5709E+01  	2.7543E+01  
402     	claude  	5.5827E+03  	5.5827E+08  	1.6646E+01  	2.7305E+01  
402     	gemini  	5.1253E+03  	5.1253E+08  	1.5517E+01  	2.7453E+01  
406     	canon   	1.6537E+04  	1.6537E+09  	4.7945E+01  	2.9000E+01  
406     	chatgpt 	1.6363E+04  	1.6363E+09  	4.7673E+01  	2.9121E+01  
406     	claude  	1.6845E+04  	1.6845E+09  	4.8676E+01  	2.8957E+01  
406     	gemini  	1.6152E+04  	1.6152E+09  	2.1779E+00  	2.8828E+01  
55      	canon   	8.4856E+06  	8.4856E+11  	3.0691E+05  	5.2792E+02  
55      	chatgpt 	1.7942E+05  	1.7942E+10  	7.1133E+03  	5.2800E+02  
55      	claude  	1.8050E+05  	1.8050E+10  	6.4857E+03  	5.2817E+02  
55      	gemini  	1.8411E+05  	1.8411E+10  	6.6179E+03  	5.2807E+02  
