easy_1005,canon,1.7008E-04
easy_1005,chatgpt,6.4181E-06
easy_1005,claude,7.4957E-06
easy_1005,gemini,-- IR --
easy_1013,canon,6.2846E-06
easy_1013,chatgpt,3.2756E-06
easy_1013,claude,3.2620E-06
easy_1013,gemini,2.9131E-06
easy_409,canon,1.4707E-05
easy_409,chatgpt,1.7325E-05
easy_409,claude,7.0033E-06
easy_409,gemini,7.7113E-06
easy_455,canon,5.1879E-06
easy_455,chatgpt,3.7911E-06
easy_455,claude,3.9499E-06
easy_455,gemini,4.1727E-06
easy_561,canon,5.6530E-06
easy_561,chatgpt,4.1981E-06
easy_561,claude,5.5941E-06
easy_561,gemini,5.3985E-06
easy_605,canon,1.1446E-05
easy_605,chatgpt,3.7118E-06
easy_605,claude,3.3378E-06
easy_605,gemini,4.5337E-06
easy_680,canon,4.2668E-06
easy_680,chatgpt,3.5207E-06
easy_680,claude,3.5687E-06
easy_680,gemini,3.6002E-06
easy_860,canon,2.5137E-06
easy_860,chatgpt,2.2661E-06
easy_860,claude,2.2230E-06
easy_860,gemini,2.2358E-06
easy_942,canon,5.1072E-06
easy_942,chatgpt,3.6159E-06
easy_942,claude,3.5598E-06
easy_942,gemini,5.2074E-06
easy_976,canon,3.3970E-06
easy_976,chatgpt,3.7564E-06
easy_976,claude,3.6336E-06
easy_976,gemini,3.7015E-06
hard_135,canon,7.2661E-05
hard_135,chatgpt,4.4864E-05
hard_135,claude,4.6919E-05
hard_135,gemini,4.4983E-05
hard_321,canon,1.1780E-04
hard_321,chatgpt,1.0303E-04
hard_321,claude,9.4288E-05
hard_321,gemini,1.1164E-04
hard_330,canon,7.2894E-04
hard_330,chatgpt,7.1251E-04
hard_330,claude,7.0477E-04
hard_330,gemini,8.0208E-04
hard_358,canon,2.7033E-05
hard_358,chatgpt,2.5332E-05
hard_358,claude,-- IR --
hard_358,gemini,-- IR --
hard_410,canon,4.7682E-05
hard_410,chatgpt,4.6808E-05
hard_410,claude,5.2069E-05
hard_410,gemini,5.2684E-05
hard_44,canon,4.4210E-05
hard_44,chatgpt,3.3053E-06
hard_44,claude,4.9661E-05
hard_44,gemini,3.5054E-06
hard_517,canon,4.4046E-06
hard_517,chatgpt,3.9894E-06
hard_517,claude,3.9592E-06
hard_517,gemini,3.9627E-06
hard_527,canon,1.6823E-04
hard_527,chatgpt,3.3927E-05
hard_527,claude,-- NR --
hard_527,gemini,3.5469E-05
hard_630,canon,1.1441E-05
hard_630,chatgpt,1.2208E-05
hard_630,claude,1.3052E-05
hard_630,gemini,1.2439E-05
hard_632,canon,9.1350E-05
hard_632,chatgpt,4.4753E-05
hard_632,claude,5.0540E-05
hard_632,gemini,4.6906E-05
medium_11,canon,1.4592E-05
medium_11,chatgpt,1.4446E-05
medium_11,claude,1.4317E-05
medium_11,gemini,1.4542E-05
medium_122,canon,1.3549E-05
medium_122,chatgpt,4.4689E-06
medium_122,claude,4.3881E-06
medium_122,gemini,4.3686E-06
medium_134,canon,6.0142E-06
medium_134,chatgpt,-- IR --
medium_134,claude,-- IR --
medium_134,gemini,-- IR --
medium_179,canon,2.3180E-05
medium_179,chatgpt,2.7731E-05
medium_179,claude,4.0072E-05
medium_179,gemini,3.9845E-05
medium_316,canon,1.4158E-05
medium_316,chatgpt,1.7481E-05
medium_316,claude,1.3504E-05
medium_316,gemini,1.3286E-05
medium_334,canon,2.8215E-06
medium_334,chatgpt,2.8607E-06
medium_334,claude,2.9262E-06
medium_334,gemini,3.6485E-06
medium_376,canon,1.2223E-05
medium_376,chatgpt,5.4730E-06
medium_376,claude,5.4981E-06
medium_376,gemini,5.7380E-06
medium_402,canon,5.6333E-06
medium_402,chatgpt,4.6862E-06
medium_402,claude,4.9252E-06
medium_402,gemini,4.6318E-06
medium_406,canon,1.6248E-05
medium_406,chatgpt,1.5698E-05
medium_406,claude,1.5274E-05
medium_406,gemini,1.5584E-05
medium_55,canon,7.6744E-03
medium_55,chatgpt,1.6369E-04
medium_55,claude,1.6214E-04
medium_55,gemini,1.6365E-04
